2.114,-0.155,1.638,-0.808,-0.307,0.681,-0.136,0.664,-2.534,0.129,0.072,1
-1.563,-1.217,0.508,-0.808,-0.286,-0.371,1.506,-0.714,0.058,-0.461,-1.148,0
0.046,1.213,-0.827,-0.453,0.054,0.012,0.503,-0.131,-0.785,0.955,-0.773,0
0.104,-1.049,0.663,1.533,-0.690,-1.231,-1.139,0.336,0.446,0.011,1.105,1
-0.758,1.213,-0.775,-0.524,0.564,-0.084,0.533,-0.459,-0.590,-0.402,-0.866,1
-0.241,-0.714,0.149,-0.524,1.478,-1.327,-0.045,0.277,-0.007,1.486,-0.866,1
-0.241,-1.105,0.714,-0.737,-0.669,-0.944,-0.349,-1.477,-0.137,0.306,0.542,1
-1.103,0.236,-1.289,-0.524,-0.435,-1.136,-1.079,0.134,0.965,0.129,-0.866,0
-0.758,1.548,-1.391,-0.028,-0.414,-0.849,-0.805,0.081,1.094,-0.579,-0.773,0
1.195,0.627,-0.159,0.185,0.373,1.255,0.199,1.618,-0.461,0.070,-0.491,0
-0.643,-0.435,-0.621,-0.382,-0.201,-0.562,-0.562,-0.348,-0.137,-0.874,-0.491,1
0.276,0.738,-0.056,-0.595,-0.286,-1.136,-0.714,0.187,-1.044,0.483,-1.148,0
-0.586,-0.491,-0.364,-0.666,-0.818,0.777,0.533,-1.721,0.446,-0.520,1.199,1
-0.126,-1.105,0.868,-0.737,-0.966,-0.944,-1.048,-0.703,0.252,-0.284,0.260,0
-1.563,-0.155,-0.929,-0.169,-0.818,0.108,1.597,-1.615,2.066,-0.166,2.419,0
-0.586,0.347,-0.056,3.307,-0.371,1.829,2.266,0.717,0.382,-0.992,-0.960,0
1.482,0.012,1.125,1.462,0.649,-0.562,-0.896,1.830,-1.562,-0.579,1.199,1
-0.643,0.236,-1.083,-0.666,-0.244,-0.657,-0.592,0.240,0.317,0.247,-0.773,1
0.851,-0.491,1.022,-0.028,-0.520,-0.657,-0.562,0.717,-0.461,-0.048,0.354,1
-0.873,0.850,-0.313,-0.311,-0.371,-0.657,-0.714,-0.682,0.446,-0.343,-0.115,0
-0.528,0.459,-1.340,-0.382,-0.286,-0.275,-0.257,0.389,1.094,-0.048,-0.585,0
0.046,0.515,-0.775,-0.524,-0.329,2.116,-0.014,-0.905,0.446,1.368,1.293,1
-0.126,4.481,-1.391,-0.524,-0.116,-1.231,-1.048,-0.184,1.483,-1.051,0.448,0
-0.701,1.269,-0.621,-0.524,0.415,0.394,1.141,-0.433,-0.785,-0.933,-0.866,0
-0.643,0.738,-1.237,-0.169,-0.201,0.012,1.202,0.362,1.418,-0.520,-0.679,0
-1.907,-0.602,-0.159,-0.382,-0.584,0.299,0.107,-2.675,2.649,0.483,3.358,1
-0.873,0.347,-0.878,-0.595,-0.520,1.733,0.199,-0.502,0.641,0.070,-0.679,0
-0.643,-0.938,0.971,-0.311,-0.286,0.777,-0.075,-0.746,0.576,1.132,0.542,1
-0.643,0.180,-0.056,-0.382,-0.095,-0.275,1.628,-0.470,-0.331,-0.815,-0.491,0
2.344,-0.211,1.587,0.327,0.330,1.160,1.597,2.148,-0.979,2.017,1.011,1
-1.907,2.861,-0.159,-0.666,-0.796,1.542,1.506,-1.774,2.779,-0.225,1.011,0
-0.413,-0.546,0.098,-0.311,-0.265,0.299,0.594,0.230,0.576,-0.107,-0.866,0
-0.069,1.129,-0.313,-0.595,-0.286,-1.040,-1.018,0.028,-0.720,-0.815,-0.866,0
-0.299,0.012,-1.340,-0.666,-0.222,-1.231,-0.835,-0.926,-0.979,-1.169,-0.585,0
-0.643,-0.938,0.971,-0.311,-0.286,0.777,-0.075,-0.746,0.576,1.132,0.542,1
-0.873,0.180,-1.237,-0.595,-0.074,0.203,-0.349,0.028,0.835,-0.166,-0.397,1
-1.103,-0.826,-0.673,-0.240,-1.051,-0.084,-0.653,-0.852,0.835,-0.048,0.635,1
-1.160,2.750,-1.391,-0.382,-0.095,0.108,-0.683,-1.260,1.807,-0.638,0.729,0
0.391,0.012,1.125,-0.453,1.775,-0.944,-0.653,0.399,-0.266,-0.284,-0.960,1
-0.643,-0.658,0.149,-0.311,-0.095,1.829,0.776,0.134,0.835,-0.815,-0.960,0
2.402,-0.826,1.690,0.043,-0.137,1.446,0.776,1.512,-1.368,0.424,0.072,0
0.965,-0.826,0.560,-0.666,1.733,1.064,1.324,1.268,-1.044,-0.048,-1.805,0
-0.643,0.710,-1.237,-0.524,-0.201,-0.849,-1.048,-0.465,0.187,-1.582,-0.866,0
3.838,-1.775,0.868,-0.240,-0.265,-0.562,-0.683,1.751,-1.562,1.073,-1.148,1
-0.126,-1.329,0.457,-0.240,-0.839,1.829,0.199,-0.926,-0.266,2.076,1.856,1
1.080,-0.938,1.895,0.256,0.734,-0.562,-0.166,0.664,-0.526,0.011,1.950,1
-0.471,-0.211,-0.416,-0.453,-0.244,-0.562,-0.075,-0.555,0.511,-0.697,-0.679,0
1.195,-1.608,0.971,-0.524,-0.265,-0.944,-0.774,0.452,-0.396,2.135,0.354,1
-0.184,0.291,0.046,0.469,-0.456,0.490,2.054,0.293,-0.590,-0.697,-0.960,1
-0.184,1.018,-1.391,0.043,-0.159,-0.466,-0.379,0.452,0.835,-0.756,-0.866,0
0.046,-0.882,0.817,-0.169,-0.520,-0.371,-0.835,-0.661,-0.914,0.896,0.729,1
0.161,0.878,-0.878,-0.666,0.096,-1.231,-1.048,0.373,-0.007,-0.048,-0.819,1
-0.701,0.459,-1.289,-0.028,-0.137,0.108,1.233,0.373,1.094,-0.343,-0.679,1
1.425,-1.329,0.765,-0.666,-0.074,0.299,-0.592,-0.687,-0.202,0.424,1.386,1
-0.873,0.627,-1.391,0.114,0.755,-0.084,-0.410,-0.724,0.835,-0.166,0.823,1
0.276,0.124,-1.186,-0.240,0.670,-0.179,0.290,-0.290,-0.655,-0.343,0.448,1
-0.816,0.068,0.149,-0.240,0.011,-0.657,1.780,0.267,-0.396,3.080,0.072,1
-0.356,1.046,-1.340,-0.311,-0.499,1.446,-0.105,-1.609,0.641,-0.520,1.293,1
-0.011,0.487,-0.262,0.043,-0.010,-0.944,-0.835,0.770,-0.331,-0.284,-1.054,0
-0.528,0.403,-0.056,3.378,-0.371,1.925,2.266,0.770,0.382,-0.992,-0.960,0
-0.758,0.347,-1.391,-0.595,-0.754,-1.231,-1.170,-0.396,0.641,-1.110,-0.115,0
-0.988,1.157,-1.289,3.804,0.734,4.985,2.358,1.406,1.029,-0.756,-0.491,0
-0.413,-1.329,1.125,0.114,0.096,0.873,0.412,0.187,-0.007,-0.284,-0.303,1
-0.471,0.571,-0.775,1.817,0.500,3.263,1.932,0.823,-0.331,0.660,-0.960,0
0.965,-0.211,-0.364,6.003,-0.350,-0.275,0.107,2.519,-0.979,0.188,-1.148,1
-1.045,-0.714,-0.878,-0.382,-0.244,1.351,0.016,-0.640,0.317,-1.051,-0.960,1
1.885,-0.658,1.381,-0.737,0.160,0.586,-0.166,0.320,-1.886,0.601,-0.491,1
-1.218,0.683,-1.083,-0.666,-0.796,-0.944,-0.866,-1.731,1.677,-0.697,1.433,0
0.908,-0.993,0.714,-0.169,-0.095,-0.466,0.442,0.770,-0.655,-0.933,-0.866,0
0.046,-0.938,0.252,-0.240,-0.137,1.542,0.989,-0.184,-0.072,0.365,0.542,1
-0.528,0.124,-0.416,-0.524,-0.116,-0.084,-0.379,-0.104,1.159,0.129,0.072,0
